Code,Country,Restriction,Note
1,All,0,"No movement restrictions imposed, internal or external"
2,All,1,"Movement restictions (lockdonw, curfew etc) impossed in part(s) of the country. "
3,All,2,General curfew.
4,All,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
5,Afghanistan,1,Lockdown implemeted in certain areas like Kabul and Herat.
6,Albania,3,"Usual lockdown rules: Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Additionally, a nation wide curfew has been in place, and pensioners were not allowed out of their homes for some time)"
7,Algeria,1,"Lockdown implemented for Wilayat, Blida, and partially for Algiers."
8,Andorra,0,Many businesses closed but no restriction in movement.
9,Australia,1,"Different policies for each territory, with most of them being under lockdown."
10,Azerbaijan,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Permission to go out is granted via sms."
11,Bahrain,0,"No movement restrictions enforced, but social distancing rules in place and many businesses closed."
12,Barbados,3,24-hour curfew. Citizens can only go out 2 times per week (based on their surnames) for very basic needs.
13,Belize,2,General curfew 20:00 - 05:00. Under 16's not allowed on the streets after 16:00 even if they are accompanied by adults.
14,Bolivia,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Additionally, people can only leave home in particular days according to rota, people under 18 and over 65 cannot leave at all."
15,Bosnia and Herzegovina,1,Under 18's and over 65 only allowed out in certain days and times.
16,Bosnia and Herzegovina,2,General curfew 20:00 - 05:00. Under 18's and over 65 not allowed out at all.
17,Botswana,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined."
18,Brazil,1,Restrictions on travelling between cities. Sao Luis first major city to declare lockdown on 05/05. Other areas impose stay at home measures later on.
19,Brunei,0,"No movement restrictions enforced, but social distancing rules in place."
20,Bulgaria,1,Restricted travel in parts of the country and certain areas in Lockdown. 
21,Burkina Faso,2,General curfew 19:00 - 05:00 (later changed to 21:00 - 04:00).
22,Burma,1,"Travel restricted from and to certain areas, and curfew imposed in Sagaing region."
23,Cabo Verde,1,Some islands still in lockdown.
24,Canada,1,"Different policies for each territory, with most of them being under lockdown."
25,Chad,1,"19:00 - 06:00 curfew to various cities, prominently the capital N'Djamena, Mandella, and Logone-Gana."
26,Chile,2,General Curfew in place from 22:00 to 05:00. Over 80's completely restricted from going out. Lockdown in several parts of the country where people are only allowed out with permits up to two times per week.
27,China,1,Wuhan in lockdown.
28,China,1,Shulan city in lockdown.
29,Congo (Kinshasa),1,"Lockdowns in Goma, Butembo and Ben."
30,Costa Rica,1,"Vehicular movement restricted, or even prohibited in certain times"
31,Cuba,1,"Travel between regions banned, and some parts of Havana in lockdown."
32,Cyprus,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Only allowed outside once per day."
33,Denmark,0,"Many businesses closed and most people required to work from home, but no movement restrictions imposed."
34,Dominica,2,General curfew 18:00 - 06:00 on weekdays and 24-hour on weekends.
35,Dominican Republic,2,General curfew 20: - 06:00 (later changed to 17:00 - 06:00).
36,Ecuador,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Also, a general curfew in place 14:00 - 05:00."
37,Egypt,2,General curfew 19:00 - 06:00.
38,Estonia,1,Certain areas in lockdown.
39,Ethiopia,1,"Many lockdown style measures. Pm quoted saying ""harsher lockdown would be unrealistic given that there are many citizens who don't have homes and even those who have homes have to make ends meet daily""."
40,Finland,1,Movement restrictions in the Uusimaa region.
41,Gabon,1,"Lockdown in the capital Libreville, and the nearby communes of Owendo, Akanda, Ntoum, and Pointe Denis."
42,Gambia,0,Some social distancing rules in place and many businesses closed but no movement restrictions.
43,Germany,1,Self imposed lockdown in several regions or cities.
44,Ghana,1,"Partial lockdown of the two main cities , Accra and Kumasi."
45,Greece,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Permission to go out is granted via sms."
46,Greenland,1,Travel ban to and from the capital Nuuk.
47,Guyana,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Additionally, a total ban in cars, motorcycles, boats etc."
48,Honduras,3,24-hour curfew. Citizens can only go out 1 time per week according to their Id card number. No one allowed out on Weekends.
49,Hungary,1,Lockdown still in place in Budapest and Pest country.
50,India,2,"General curfew 19:00 - 07:00. Additionally, stricter rules in certain areas."
51,Italy,1,Localised quarantine in Lombardy 
52,Jamaica,2,"General lockdown 20:00 - 06:00 (later moved to 15:00 - 07:00). Additionally, lockdown in certain areas."
53,Kazakhstan,1,Self imposed lockdown and curfews in several regions or cities.
54,Kenya,2,"General curfew 19:00 - 05:00. Additionally, lockdown in certain areas of the country."
55,Kosovo,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. People can only be out dureing a 1.5h window (later changed to 3-hour window, and then to a 4-hour window)."
56,Kuwait,2,"General curefew 17:00 - 04:00 (later changed to 17:00 - 06:00). Additionally, lockdown is certain areas of the country."
57,Kyrgyzstan,1,"Intercity travel banned, and many cities and regions under lockdown."
58,Libya,2,"Opposing governing bodies controlling different parts of the country both declared movement restriction measures. The west is in lockdown, the east on a general curfew for 18:00 - 06:00."
59,Madagascar,1,"The country's two main cities, Antananarivo and Toamasina are in lockdown. From 20/04 the lockdown transitioned to a 13:00 - 06:00 curfew."
60,Malawi,0,Lockdown announced by the government but blocked by High Court.
61,Mali,2,General curfew 21:00 - 05:00.
62,Mauritania,2,General curfew 20:00 - 06:00.
63,Moldova,1,People over 63 can only leave home for pre -defined set of reasons.
64,Namibia,1,"Restrictions on travelling between cities, and lockdown of some regions."
65,Niger,1,Curfew imposed in the city of Niamey.
66,Nigeria,1,Lockdown of some states.
67,Norway,1,People are not allowed to stay in their cabins or other leisure homes.
68,Oman,1,"Restricted movement between governorates, and Muscat in lockdown."
69,Papua New Guinea,2,General curfew 20:00 - 8:00.
70,Paraguay,2,General curfew 20:00 - 04:00.
71,Paraguay,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy etc). Violators are fined."
72,Poland,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Under 18's cannot go out without adult supervision."
73,Romania,2,General curefew 22:00 - 06:00.
74,Romania,3,"Usual lockdown rules: going out of home is only allowed for certain pre-defined reasons (grocery shopping, helping someone in need, visit to doctor or pharmacy, exercising etc). Violators are fined. Additionally, a general curfew for 22:00 - 06:00."
75,Russia,1,"Moscow self imposes lockdown, and many cities and regions follow the example."
76,Rwanda,2,General curefew 20:00 - 05:00.
77,Saudi Arabia,2,General curfew 19:00 - 06:00. Some cities in lockdown.
